201
0.0 6.3469999999999995  116708992.58882423 0.0
0.0 6.316827544577338  116713593.83242969 204511.31933138473
0.0 6.314822209075014  116714189.89619417 216956.11377366376
0.0 6.312718991678748  116714862.20514937 229949.36902831445
0.0 6.310511557276993  116715620.28045478 243525.8081980295
0.0 6.308191490113419  116716475.76235321 257730.48052971895
0.0 6.30574835054196  116717441.56802806 272615.72522800096
0.0 6.3031696514599265  116718533.219271 288241.51378099516
0.0 6.3004415383374095  116719773.24625644 304673.49922160746
0.0 6.297548895631723  116721176.6482637 322004.6798433361
0.0 6.294475441388773  116722738.42779517 340312.3623031086
0.0 6.291206556878144  116724488.30928065 359652.9866803807
0.0 6.287727841896224  116726468.51024397 380104.69935065595
0.0 6.284025601879528  116728712.75688882 401761.9559771166
0.0 6.280086318592129  116731265.3398042 424717.2231820444
0.0 6.2758950315298385  116734169.21719053 449109.6619610174
0.0 6.271435335152628  116737440.40572444 475043.89668768167
0.0 6.266758097749515  116741105.93553479 501521.6861097905
0.0 6.2617852822703375  116745280.4511397 529634.993342839
0.0 6.256492254886325  116750005.07987802 559533.8736219084
0.0 6.250857028876516  116755362.6051266 591322.7357203191
0.0 6.244848436654198  116761449.35430782 625161.3456597509
0.0 6.238439326480772  116768394.74895445 661203.6687099026
0.0 6.231589431476186  116776345.50368498 699712.1182865151
0.0 6.22425577188285  116785422.5590939 740958.2668274572
0.0 6.216388407404853  116795757.81600948 785226.7227583253
0.0 6.207939007999064  116807560.6871666 832776.5925298814
0.0 6.19885110335542  116821094.37327483 883985.1329636442
0.0 6.189070756476818  116836600.49317056 939250.7755564527
0.0 6.178526079190633  116854358.13732918 998916.2271321168
0.0 6.167156946848312  116874718.31138067 1063253.7830747608
0.0 6.154879005623729  116898168.19461887 1132723.9954403504
0.0 6.141652358597829  116925192.36901018 1207580.053011233
0.0 6.127405963263199  116956394.99002469 1288327.2549871118
0.0 6.1120818030688016  116992473.4158456 1375142.5378446954
0.0 6.095564031182011  117034255.3114345 1468961.1362545984
0.0 6.07770892706368  117082642.75724348 1570733.7702018123
0.0 6.0584004218864465  117138769.03828178 1681348.8092794567
0.0 6.037493690267458  117203999.4166466 1802036.9502279032
0.0 6.014848607575759  117279844.64775562 1934210.6106628194
0.0 5.99029966460721  117368248.47224826 2079892.3662534128
0.0 5.96364409002751  117471539.56274709 2241683.465842534
0.0 5.934699526564826  117591960.66111533 2421587.5819605114
0.0 5.9031581496926755  117732844.80049689 2624975.3410122893
0.0 5.868814834953802  117896308.89362916 2853864.6254591583
0.0 5.831374469935293  118086592.27469604 3113379.333848755
0.0 5.790503719382543  118308508.95414329 3408691.1396447117
0.0 5.74597495010636  118567308.10626595 3745469.0652561234
0.0 5.697475051616178  118869469.34560566 4131648.7373039527
0.0 5.644712107485682  119222125.19191612 4575743.267040918
0.0 5.587235198190393  119633969.29633638 5088369.59076363
0.0 5.524637742137565  120114184.76672813 5681870.8551280415
0.0 5.456500862509096  120672199.49270321 6369303.062467466
0.0 5.382231730664071  121322060.12538813 7171156.693829769
0.0 5.30155092921624  122077730.55467905 8106557.122681344
0.0 5.214089922276411  122954333.29674485 9197943.689627817
0.0 5.11955225870855  123967959.20348546 10469888.551988298
0.0 5.0173011191393835  125144770.91005221 11958201.996757686
0.0 4.90746079578677  126506892.63212945 13695045.752112182
0.0 4.789869209233312  128080006.82914376 15721132.12646246
0.0 4.664911474595672  129894100.63896222 18077768.65112052
0.0 4.5331704318897375  131981026.41324666 20810423.276113257
0.0 4.3954661539835005  134374013.71589014 23966870.961205255
0.0 4.251826398724662  137118482.51831937 27615283.447033256
0.0 4.103607396028196  140253905.76119015 31810764.393907107
0.0 3.95101352147101  143824589.9141281 36626172.39360035
0.0 3.795161780464081  147867210.7502123 42125026.03326847
0.0 3.6365909337739364  152423031.7813845 48387760.23947083
