201
0.0 6.3469999999999995  74355940.7262015 0.0
0.0 6.336024344850018  74357248.45797695 110109.65488931691
0.0 6.334844655462835  74357447.80479902 123813.84850057522
0.0 6.33355063147526  74357674.02324419 138917.97409096907
0.0 6.3321323978875  74357930.4366844 155556.94609755636
0.0 6.330578654495601  74358220.77976668 173883.66518124947
0.0 6.328876561220498  74358549.24267831 194070.0440576694
0.0 6.327011639248424  74358920.5392167 216308.68064648737
0.0 6.324969546607608  74359339.59635374 240792.55395668288
0.0 6.322738007890983  74359811.17621773 267692.76182644174
0.0 6.320291456441399  74360343.25142646 297345.43502866896
0.0 6.317609430162695  74360943.3024839 330032.7992168032
0.0 6.31467008000743  74361619.75248614 366062.1257662131
0.0 6.311450262398125  74362382.05472732 405765.1929706062
0.0 6.307925201713432  74363240.8598724 449502.24930235534
0.0 6.304068177924623  74364208.1908691 497663.8111773622
0.0 6.299850297980362  74365297.56968062 550672.4194885778
0.0 6.2952398926474915  74366524.26339212 608986.2311327622
0.0 6.2902020798226825  74367905.48829812 673100.8448266067
0.0 6.284698141527956  74369460.67890045 743552.3280777979
0.0 6.278684782046589  74371211.88000216 820920.669994218
0.0 6.272113967050506  74373184.00417404 905826.6874280713
0.0 6.264932285207667  74375405.31562519 998932.6681899418
0.0 6.257080714938779  74377908.07453057 1100938.1743156177
0.0 6.248494648828444  74380729.18229902 1212575.8709586244
0.0 6.239104540290755  74383911.29068014 1334599.4907053774
0.0 6.2288359634092085  74387507.07851665 1467782.086889522
0.0 6.2176105500330765  74391544.58877583 1612949.05388315
0.0 6.205345038336347  74396038.14834629 1770930.0522452826
0.0 6.191961354297422  74401077.40692636 1942400.710361074
0.0 6.177379292588606  74406770.58627589 2128066.5459518232
0.0 6.161520849484653  74413210.05393088 2328609.854370388
0.0 6.144312837232241  74420508.87374386 2544633.3654140597
0.0 6.125687761907078  74428746.55446804 2776720.927033469
0.0 6.105582854402368  74437982.9300276 3025344.1122635207
0.0 6.08395944015553  74448420.1550008 3290561.8801220944
0.0 6.0607895142766965  74460250.12636258 3572427.2874022084
0.0 6.036059637010185  74473596.9112584 3870821.056740432
0.0 6.009796470805618  74488692.76779884 4185111.8046230036
0.0 5.982042905980217  74505807.54940805 4514485.267282232
0.0 5.952890750095858  74525292.85412464 4857570.312546106
0.0 5.922451749588472  74547475.83034472 5212898.524061188
0.0 5.890882359995632  74572590.7298468 5578558.736911386
0.0 5.858368710820364  74600986.05940463 5952116.527945519
0.0 5.825147692641158  74633270.60213201 6330408.666845204
0.0 5.7914642907841625  74670088.92957225 6710301.443134204
0.0 5.757591194382953  74712027.11039214 7088390.017945903
0.0 5.723794281124566  74759792.46051127 7461230.139912358
0.0 5.690335300405417  74814253.43556681 7825278.901032162
0.0 5.6574284034865  74876550.08089359 8177325.528119271
0.0 5.625231149282909  74947968.20330195 8514764.670409402
0.0 5.593791926259978  75029857.55126645 8836020.86347712
0.0 5.563066441992877  75124023.53136486 9140001.579864603
0.0 5.532864485380025  75232408.89297988 9427486.9612555
0.0 5.502870056796539  75356818.9213152 9700206.151178647
0.0 5.472659103867735  75500047.42883573 9960625.636612754
0.0 5.441697085776369  75665310.34647925 10213010.790466538
0.0 5.4093937261573055  75856699.64358509 10462422.286318133
0.0 5.375125454199312  76080894.85729674 10715990.457694406
0.0 5.338266492922994  76336938.49269016 10979375.520413168
0.0 5.298213544950282  76633100.32846999 11264593.641090576
0.0 5.254383627232566  76974441.2880109 11581755.250769291
0.0 5.2062465316454425  77365347.36791886 11939482.812426114
0.0 5.153290939317311  77812951.13830405 12345288.24659671
0.0 5.095019745175542  78325610.86417355 12808063.366479034
0.0 5.030922881052536  78912020.06436175 13338138.56566313
0.0 4.960508837810664  79581250.17366415 13945588.599978397
0.0 4.883280649710895  80344109.96906008 14641751.189689621
0.0 4.798799450862221  81211792.92785347 15438675.974343752
0.0 4.706667045078612  82197169.29993235 16350343.678760197
0.0 4.6066191135689865  83314187.39788878 17391064.076931503
0.0 4.498498999865799  84580621.45747052 18580589.11257478
