201
0.0 6.3469999999999995  114329409.24034303 0.0
0.0 6.345187908804622  114329447.97718549 11844.751877795117
0.0 6.344877313736452  114329456.52334623 14108.667213451397
0.0 6.344544077795193  114329466.57826677 16561.500568372005
0.0 6.344183301043923  114329478.38639733 19400.540882866302
0.0 6.343811902334721  114329492.10765873 22415.06266399233
0.0 6.343419235179521  114329508.05363289 25702.500254219784
0.0 6.343012050851497  114329526.5040025 29164.21110481176
0.0 6.342581530080001  114329547.81542279 32881.750198035545
0.0 6.342130400020271  114329572.26546071 36866.82572494302
0.0 6.341658631288297  114329600.39255267 41029.977576935686
0.0 6.3411644443741135  114329632.50206578 45403.237127699555
0.0 6.340637034698683  114329669.25828677 50043.18095272504
0.0 6.340082626650503  114329711.05781029 54838.9035970913
0.0 6.339484173535903  114329758.55928199 59988.456383240664
0.0 6.338851728729452  114329812.58704582 65232.86325419157
0.0 6.338171574350985  114329873.78039294 70789.27508779084
0.0 6.337443151090385  114329943.0137858 76606.92771564254
0.0 6.3366621747405745  114330021.38625088 82694.32796879117
0.0 6.335811014157079  114330109.86490914 89172.91053946626
0.0 6.334896408204808  114330210.59850328 96035.76980808435
0.0 6.333915631278784  114330324.03888768 103290.90477313948
0.0 6.3328772397065904  114330452.01830298 110897.39069685806
0.0 6.33176138953124  114330597.1336691 118949.40778224383
0.0 6.330578955257177  114330759.87682435 127342.21327923612
0.0 6.32933397010268  114330943.82069017 136098.4004364836
0.0 6.328000146140375  114331152.20221737 145363.20267197586
0.0 6.326593408933723  114331384.9564909 154978.5322234423
0.0 6.32510293458082  114331647.44524375 165064.59654632022
0.0 6.323540228694494  114331942.81327577 175521.87696326207
0.0 6.321884063708216  114332274.34523655 186447.2793072727
0.0 6.320150996736691  114332648.96120465 197806.48271381072
0.0 6.318331390682657  114333071.34821492 209613.91529369334
0.0 6.316411694327743  114333547.45964564 221920.3731124513
0.0 6.314386772475636  114334084.33117929 234772.96687719485
0.0 6.3122600527567405  114334688.42998736 248138.4582623752
0.0 6.310013875932963  114335369.65489364 262202.86115311494
0.0 6.307644981709825  114336139.31451079 276986.7206981214
0.0 6.305163737727019  114337009.14388277 292399.56286743464
0.0 6.302514446105754  114337987.9063532 308848.4355971638
0.0 6.299737201234162  114339098.30289097 325973.6799508203
0.0 6.2967926874514015  114340359.30866788 344101.56315116613
0.0 6.293677107313804  114341780.69588229 363160.52475237305
0.0 6.2903748178184395  114343366.34125929 383165.04357545066
0.0 6.286875567856297  114345132.67644338 404337.9594638444
0.0 6.283167892504784  114347126.3285307 426617.8806353239
0.0 6.279226862262988  114349389.03255816 450137.75589581905
0.0 6.275055973594063  114351953.36061119 474820.88293943816
0.0 6.2706275658448  114354861.18797365 500839.3717928905
0.0 6.26595241936398  114358123.39767313 528106.9281969231
0.0 6.2609989106686825  114361794.01616651 556625.652094201
0.0 6.255729813379415  114366010.94506884 586875.4175487893
0.0 6.2501265235475385  114370756.8770467 618898.8848937909
0.0 6.244186389072242  114376131.26111756 652615.4736245262
0.0 6.237883507454202  114382227.1573172 688105.8200665283
0.0 6.231165047789404  114389176.54242662 725837.1607059592
0.0 6.224027975075283  114397118.56865495 765852.6689981725
0.0 6.216429040981491  114406199.46828192 808358.8118077626
0.0 6.20831836203552  114416470.13245551 853595.2963720496
0.0 6.199655859657802  114428236.69520128 901625.3156827497
0.0 6.1904167437155  114441695.02897817 952664.5701189619
0.0 6.1805310864207375  114457096.92742611 1007315.6205359399
0.0 6.1699210236765545  114474717.62272735 1065899.5325957257
0.0 6.158520011473959  114494979.65159562 1128857.6022130419
0.0 6.146283141241803  114518246.44591258 1196388.5587106443
0.0 6.13315984828231  114545030.64154308 1268657.6109643262
0.0 6.119022588390383  114575872.01088461 1346771.0903922033
0.0 6.103814180911719  114611368.83907185 1431224.0492289816
0.0 6.087382752189016  114652539.29365495 1523109.5662483764
0.0 6.069648944007992  114700188.22334704 1623233.2479144637
0.0 6.050407410339282  114755498.60645624 1733385.3254787535
0.0 6.029547520197534  114819726.09757629 1854243.8522638618
0.0 6.006920289109837  114894461.61491506 1987141.1340258627
0.0 5.982380089880411  114981592.0153914 2134022.498249048
0.0 5.955777074649367  115083462.48378024 2297259.315236935
0.0 5.92668646377591  115202681.95522597 2480819.262665966
0.0 5.895026955469124  115342066.01736264 2687468.827220502
0.0 5.860431966381567  115504640.35865332 2921428.035334822
0.0 5.822569506827844  115694898.9910718 3187539.145128897
0.0 5.781028009631901  115917446.75236918 3491374.5745384693
0.0 5.73559121684202  116177029.79491164 3838897.605080127
0.0 5.685656745632633  116481517.76987883 4239611.493730472
0.0 5.631154128182757  116835615.74514183 4699564.430715715
