201
0.0 6.347  124768052.43034735 0.0
0.0 2.8064055606652945  192155109.37570694 100646772.20687027
0.0 2.6388454148026756  199138802.769273 113499575.00343096
0.0 2.4767808074330198  205711364.82647663 126776087.63171388
0.0 2.3221167875727486  211429017.1536366 139816667.91141102
0.0 2.1749832529979924  215934644.00219423 152004572.5520723
0.0 2.034668705839841  218985057.0814187 162800796.93685988
0.0 1.903719300521065  220589001.16642675 171687479.73615456
0.0 1.782667321291625  221037739.7810356 178542232.09694234
0.0 1.671591057182083  220852119.4070712 183636326.3904475
0.0 1.5694641064211332  220556589.89033115 187467985.21702814
0.0 1.4746261013893416  220604850.6820338 190623658.63570634
0.0 1.3848491300548949  221359126.58414054 193695589.51429114
0.0 1.2993379904636961  223088528.31744245 197150612.36224526
0.0 1.216305112274683  225975660.12997967 201444586.2452251
0.0 1.1346432470110355  230006085.83027685 206796354.43600276
0.0 1.0535234291089155  235051222.18076378 213227787.44060203
0.0 0.9724660124164624  240961606.44777426 220695914.56288838
0.0 0.8917298037580756  247378927.85398564 228889882.6739474
0.0 0.8116048298183116  253936082.3118124 237417567.66481438
0.0 0.7331514984581402  260384363.26552808 245923867.29539374
0.0 0.6570338589980271  266531268.84814557 254116404.6519241
0.0 0.5839503943589804  272217360.9976274 261728723.8676161
0.0 0.5145759425836458  277449663.36814535 268657991.4409578
0.0 0.4496217043222154  282354178.0233099 274972612.00442743
0.0 0.38923229066593523  287111676.85534054 280868268.29028255
0.0 0.3347771140263171  291904972.5448117 286484072.47883624
0.0 0.2856535891380328  297059792.8466082 292195400.75265276
0.0 0.24154513387399681  302900470.78268445 298398672.98248917
0.0 0.2026582051137277  309734274.93028176 305463716.63574106
0.0 0.16938839934526864  317820948.3996447 313698391.068804
0.0 0.1422130387473978  327528308.2428573 323487006.17081696
0.0 0.12143147685439935  339250423.0570654 335269756.35234547
0.0 0.10686880874891252  353300507.743986 349369943.591632
0.0 0.09768146894002473  370324607.03264755 366384118.4797481
0.0 0.09243870486466572  391090377.73086536 387088264.23234916
0.0 0.08949334555073495  416508054.1865936 412364310.6338111
0.0 0.08748991940730667  447870704.34784335 443493293.12475586
0.0 0.08562037678888024  486776027.9807186 482135931.65759796
0.0 0.08350267626377675  535477724.9018584 530604087.3808825
0.0 0.08098289509443236  597451157.4419976 592463327.5600889
0.0 0.07794726790227091  676238610.8805016 671390827.5020957
0.0 0.0741314913833496  770584966.1696447 766128428.7954848
0.0 0.06925460898255384  878200944.3437841 874192651.3020364
0.0 0.0630917795676316  1000770246.8952401 997109156.6068169
0.0 0.055338301848783196  1141399021.4208887 1137985528.6390426
0.0 0.04595561815483754  1300916358.288852 1297703800.1507223
0.0 0.03528607782258105  1483847629.7165592 1480809227.738401
0.0 0.024163100891729714  1691993054.585287 1689106572.488175
0.0 0.013992730334582586  1929717974.919544 1926983266.107497
0.0 0.006361067139847697  2201242073.7424073 2198678229.436335
0.0 0.002033020853219363  2512019968.076573 2509659003.991975
0.0 0.00038972477117166774  2865810805.887513 2863660655.0762563
0.0 3.8039403946512984e-05  3270081069.0627537 3268088904.759311
0.0 1.6419263406048166e-06  3728337059.7501616 3726483106.7999935
0.0 2.2474192859733156e-08  4250572863.500747 4248877588.6744614
0.0 4.943136237511447e-11  4846986132.048561 4845432359.961828
